instrument_id,venue,ts_event,trade_id,event_seq,price,quantity,aggressor_side,trade_condition,buyer_id,seller_id
MSFT.P.XNAS,XNAS,2025-09-15 13:30:00.800,T00000000,0,377.98,17,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:02.300,T00000001,1,379.15000000000003,14,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:02.800,T00000002,2,380.34000000000003,18,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:03.500,T00000003,3,375.86,24,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:03.700,T00000004,4,374.22,13,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:05.800,T00000005,5,374.21,15,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:06.000,T00000006,6,375.21,10,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:08.100,T00000007,7,371.55,24,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:08.600,T00000008,8,372.82,10,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:08.700,T00000009,9,372.73,14,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:08.800,T00000010,10,372.66,16,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:09.800,T00000011,11,376.75,30,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:10.800,T00000012,12,375.26,12,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:12.400,T00000013,13,381.83,28,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:12.600,T00000014,14,384.32,18,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:12.700,T00000015,15,384.2,43,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:13.300,T00000016,16,379.91,25,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:13.700,T00000017,17,377.63,11,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:14.400,T00000018,18,374.6,14,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:17.400,T00000019,19,377.26,22,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:17.600,T00000020,20,375.81,37,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:19.600,T00000021,21,382.27,13,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:20.900,T00000022,22,388.77,40,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:21.000,T00000023,23,392.07,34,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:22.700,T00000024,24,379.52,14,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:23.700,T00000025,25,382.74,18,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:24.200,T00000026,26,382.66,10,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:25.800,T00000027,27,383.18,10,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:26.100,T00000028,28,379.21,12,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:26.200,T00000029,29,378.46,11,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:26.300,T00000030,30,377.17,17,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:27.300,T00000031,31,377.81,36,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:29.400,T00000032,32,373.48,22,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:29.800,T00000033,33,375.51,13,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:30.600,T00000034,34,376.3,27,S,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:30.700,T00000035,35,375.14,57,B,,,
MSFT.P.XNAS,XNAS,2025-09-15 13:30:30.800,T00000036,36,374.01,18,S,,,
